country,iso3,year,population,residence,varname_short,varname_long,percent,income_id_short,income_id,sdg_region
Angola,AGO,2001,16747.208,Urban,wat_unimp,Unimproved source,7.616682052990086,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Urban,wat_surf,Surface water,8.5484372078465185,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Urban,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Urban,wat_accessible,Accessible on premises,31.51190527316518,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Urban,wat_available,Available when needed,35.476502892504612,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Urban,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Urban,wat_piped,Piped water,37.919082717028232,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Urban,wat_nonpiped,Non-piped water,45.915798022135156,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Total,wat_bas,At least basic drinking water,38.338815746969473,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Total,wat_lim,Limited drinking water (>30 mins),17.68751405859555,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Total,wat_unimp,Unimproved source,13.462248648876971,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Total,wat_surf,Surface water,30.511421545558012,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Total,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Total,wat_accessible,Accessible on premises,17.99648265647842,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Total,wat_available,Available when needed,27.881298913262459,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Total,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Total,wat_piped,Piped water,24.78206147995666,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2001,16747.208,Total,wat_nonpiped,Non-piped water,31.244268325608349,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Rural,wat_bas,At least basic drinking water,16.8885020977939,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Rural,wat_lim,Limited drinking water (>30 mins),9.8750975261384468,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Rural,wat_unimp,Unimproved source,19.613494733329389,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Rural,wat_surf,Surface water,53.62290564273826,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Rural,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Rural,wat_accessible,Accessible on premises,3.774304520645511,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Rural,wat_available,Available when needed,19.888922554471499,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Rural,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Rural,wat_piped,Piped water,10.958072278797991,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Rural,wat_nonpiped,Non-piped water,15.80552734513436,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Urban,wat_bas,At least basic drinking water,58.723179612711732,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Urban,wat_lim,Limited drinking water (>30 mins),25.11170112645166,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Urban,wat_unimp,Unimproved source,7.616682052990086,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Urban,wat_surf,Surface water,8.5484372078465185,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Urban,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Urban,wat_accessible,Accessible on premises,31.51190527316518,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Urban,wat_available,Available when needed,35.476502892504612,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Urban,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Urban,wat_piped,Piped water,37.919082717028232,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Urban,wat_nonpiped,Non-piped water,45.915798022135156,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Total,wat_bas,At least basic drinking water,38.835392499718921,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Total,wat_lim,Limited drinking water (>30 mins),17.868372271981759,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Total,wat_unimp,Unimproved source,13.319845813221139,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Total,wat_surf,Surface water,29.976389415078181,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Total,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Total,wat_accessible,Accessible on premises,18.325727310754381,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Total,wat_available,Available when needed,28.06632333325534,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Total,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Total,wat_piped,Piped water,25.102088114490439,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2002,17327.699,Total,wat_nonpiped,Non-piped water,31.601676657210241,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Rural,wat_bas,At least basic drinking water,17.74191856384471,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Rural,wat_lim,Limited drinking water (>30 mins),10.083999961694079,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Rural,wat_unimp,Unimproved source,19.86799394524542,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Rural,wat_surf,Surface water,52.306087529215802,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Rural,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Rural,wat_accessible,Accessible on premises,3.924116768961877,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Rural,wat_available,Available when needed,20.678367123179971,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Rural,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Rural,wat_piped,Piped water,10.97830669449081,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Rural,wat_nonpiped,Non-piped water,16.847611831047971,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Urban,wat_bas,At least basic drinking water,59.972497355381734,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Urban,wat_lim,Limited drinking water (>30 mins),24.23207785153944,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Urban,wat_unimp,Unimproved source,7.6060932154493912,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Urban,wat_surf,Surface water,8.1893315776294457,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Urban,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Urban,wat_accessible,Accessible on premises,31.65086625152265,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Urban,wat_available,Available when needed,35.632946925574288,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Urban,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Urban,wat_piped,Piped water,38.864891828046673,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Urban,wat_nonpiped,Non-piped water,45.339683378874497,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Total,wat_bas,At least basic drinking water,40.396515722513449,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Total,wat_lim,Limited drinking water (>30 mins),17.67373761184859,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Total,wat_unimp,Unimproved source,13.29009265788199,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Total,wat_surf,Surface water,28.639654007755968,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Total,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Total,wat_accessible,Accessible on premises,18.79813322410665,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Total,wat_available,Available when needed,28.700753293810671,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Total,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Total,wat_piped,Piped water,25.938067343391861,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2003,17943.712,Total,wat_nonpiped,Non-piped water,32.132185990970193,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Rural,wat_bas,At least basic drinking water,18.60931301420565,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Rural,wat_lim,Limited drinking water (>30 mins),10.27892441293911,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Rural,wat_unimp,Unimproved source,20.122493157161902,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Rural,wat_surf,Surface water,50.989269415693343,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Rural,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Rural,wat_accessible,Accessible on premises,4.0739290172781768,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Rural,wat_available,Available when needed,21.467811691888109,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Rural,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Rural,wat_piped,Piped water,10.998541110183631,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Rural,wat_nonpiped,Non-piped water,17.889696316961128,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Urban,wat_bas,At least basic drinking water,61.230511320622703,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Urban,wat_lim,Limited drinking water (>30 mins),23.343758354056231,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Urban,wat_unimp,Unimproved source,7.5955043779085827,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Urban,wat_surf,Surface water,7.8302259474124867,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Urban,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Urban,wat_accessible,Accessible on premises,31.789827229880121,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Urban,wat_available,Available when needed,35.789390958643978,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Urban,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Urban,wat_piped,Piped water,39.8107009390651,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Urban,wat_nonpiped,Non-piped water,44.763568735613831,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Total,wat_bas,At least basic drinking water,41.977236786210163,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Total,wat_lim,Limited drinking water (>30 mins),17.44198069021914,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Total,wat_unimp,Unimproved source,13.25432179620309,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Total,wat_surf,Surface water,27.326460727367589,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Total,wat_safe,Safely managed drinking water,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Total,wat_accessible,Accessible on premises,19.269724188939989,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Total,wat_available,Available when needed,29.319903625560642,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Total,wat_free,Free from contamination,-,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Total,wat_piped,Piped water,26.79538357072623,LMIC,Lower middle income,Sub-Saharan Africa
Angola,AGO,2004,18600.423,Total,wat_nonpiped,Non-piped water,32.62383390570308,LMIC,Lower middle income,Sub-Saharan Africa
